ano,prioridade,indicador,realizado,pct_atingimento_meta
2023,2 - Alta,Incidentes com OLA quebrado,0,150
2023,2 - Alta,Volume total de incidentes tratados,0,150
2023,3 - Média,Incidentes com OLA quebrado,4,150
2023,3 - Média,Volume total de incidentes tratados,87,150
2024,2 - Alta,Incidentes com OLA quebrado,0,150
2024,2 - Alta,Volume total de incidentes tratados,0,150
2024,3 - Média,Incidentes com OLA quebrado,6,150
2024,3 - Média,Volume total de incidentes tratados,357,150
2025,2 - Alta,Incidentes com OLA quebrado,42,75
2025,2 - Alta,Volume total de incidentes tratados,5159,125
2025,3 - Média,Incidentes com OLA quebrado,196,150
2025,3 - Média,Volume total de incidentes tratados,19997,125
