Item de configuração,total_chamados,violacoes_ola,taxa_violacao_pct
IC00840,102,32,31.37
IC00633,31,4,12.9
IC00928,86,7,8.14
IC01139,79,6,7.59
IC01157,34,2,5.88
IC00720,60,3,5.0
IC00704,24,1,4.17
IC00453,26,1,3.85
IC03550,27,1,3.7
IC01587,27,1,3.7
IC00298,28,1,3.57
IC00655,93,3,3.23
IC01442,65,2,3.08
IC01071,33,1,3.03
IC01775,67,2,2.99
IC05005,34,1,2.94
IC01012,298,8,2.68
IC01130,38,1,2.63
IC00251,433,11,2.54
IC00943,40,1,2.5
IC01742,127,3,2.36
IC01508,46,1,2.17
IC00622,92,2,2.17
IC01254,93,2,2.15
IC00680,151,3,1.99
IC00214,53,1,1.89
IC00936,56,1,1.79
IC00609,57,1,1.75
IC00387,58,1,1.72
IC00477,61,1,1.64
IC00833,62,1,1.61
IC00169,64,1,1.56
IC00374,64,1,1.56
IC00835,128,2,1.56
IC00671,67,1,1.49
IC00404,67,1,1.49
IC01097,74,1,1.35
IC02121,75,1,1.33
IC01285,796,10,1.26
IC01256,88,1,1.14
IC00128,103,1,0.97
IC01216,108,1,0.93
IC00737,463,4,0.86
IC00731,244,2,0.82
IC00173,125,1,0.8
IC00629,530,4,0.75
IC00349,3271,24,0.73
IC00290,144,1,0.69
IC00142,147,1,0.68
IC00604,1079,6,0.56
IC00733,376,2,0.53
IC00930,212,1,0.47
IC00389,212,1,0.47
IC00341,225,1,0.44
IC00677,246,1,0.41
IC00660,249,1,0.4
IC00725,988,1,0.1
IC00993,130,0,0.0
IC00995,138,0,0.0
IC01064,62,0,0.0
IC00939,29,0,0.0
IC00996,154,0,0.0
IC01027,65,0,0.0
IC00940,42,0,0.0
IC00998,27,0,0.0
IC01002,35,0,0.0
IC01024,22,0,0.0
IC00945,44,0,0.0
IC01016,24,0,0.0
IC00947,658,0,0.0
IC00968,70,0,0.0
IC01011,30,0,0.0
IC01015,34,0,0.0
IC00969,38,0,0.0
IC00992,150,0,0.0
IC00991,22,0,0.0
IC00982,43,0,0.0
IC00974,85,0,0.0
IC01021,61,0,0.0
IC01237,21,0,0.0
IC01240,24,0,0.0
IC01242,24,0,0.0
IC01243,21,0,0.0
IC01250,105,0,0.0
IC01257,30,0,0.0
IC01258,21,0,0.0
IC01266,24,0,0.0
IC01267,46,0,0.0
IC01152,35,0,0.0
IC01270,48,0,0.0
IC01274,99,0,0.0
IC01275,20,0,0.0
IC01283,23,0,0.0
IC01312,26,0,0.0
IC01313,72,0,0.0
IC01337,28,0,0.0
IC01338,22,0,0.0
IC01413,31,0,0.0
IC01268,32,0,0.0
IC01087,28,0,0.0
IC01100,44,0,0.0
IC01105,21,0,0.0
IC01114,22,0,0.0
IC01118,20,0,0.0
IC01122,26,0,0.0
IC01125,20,0,0.0
IC01127,21,0,0.0
IC01128,41,0,0.0
IC01221,55,0,0.0
IC01161,21,0,0.0
IC01162,49,0,0.0
IC01166,30,0,0.0
IC01190,54,0,0.0
IC01191,39,0,0.0
IC01192,40,0,0.0
IC01195,76,0,0.0
IC01209,29,0,0.0
IC01214,41,0,0.0
IC01217,23,0,0.0
IC01131,23,0,0.0
IC00670,64,0,0.0
IC00672,26,0,0.0
IC00675,56,0,0.0
IC00685,161,0,0.0
IC00686,23,0,0.0
IC00693,43,0,0.0
IC00706,44,0,0.0
IC00708,188,0,0.0
IC00709,80,0,0.0
IC00710,94,0,0.0
IC00882,20,0,0.0
IC00712,47,0,0.0
IC00713,28,0,0.0
IC00716,34,0,0.0
IC00718,43,0,0.0
IC00719,20,0,0.0
IC00722,38,0,0.0
IC00727,72,0,0.0
IC00728,36,0,0.0
IC00729,24,0,0.0
IC00734,59,0,0.0
IC00711,35,0,0.0
IC00635,37,0,0.0
IC00636,59,0,0.0
IC00638,28,0,0.0
IC00640,52,0,0.0
IC00642,26,0,0.0
IC00643,32,0,0.0
IC00644,83,0,0.0
IC00645,33,0,0.0
IC00646,29,0,0.0
IC00648,35,0,0.0
IC00668,20,0,0.0
IC00650,130,0,0.0
IC00652,28,0,0.0
IC00654,21,0,0.0
IC00657,35,0,0.0
IC00658,37,0,0.0
IC00659,21,0,0.0
IC00661,35,0,0.0
IC00662,45,0,0.0
IC00663,192,0,0.0
IC00665,36,0,0.0
IC00667,21,0,0.0
IC00649,74,0,0.0
IC00847,206,0,0.0
IC00848,198,0,0.0
IC00861,68,0,0.0
IC00863,37,0,0.0
IC00867,20,0,0.0
IC00868,85,0,0.0
IC00874,45,0,0.0
IC00875,26,0,0.0
IC00876,23,0,0.0
IC00878,23,0,0.0
IC00735,51,0,0.0
IC00880,29,0,0.0
IC00888,81,0,0.0
IC00890,23,0,0.0
IC00891,21,0,0.0
IC00895,23,0,0.0
IC00901,599,0,0.0
IC00912,32,0,0.0
IC00915,60,0,0.0
IC00917,70,0,0.0
IC00927,22,0,0.0
IC00879,20,0,0.0
IC00736,23,0,0.0
IC00739,50,0,0.0
IC00740,20,0,0.0
IC00754,138,0,0.0
IC00756,38,0,0.0
IC00757,25,0,0.0
IC00759,123,0,0.0
IC00760,40,0,0.0
IC00761,39,0,0.0
IC00762,48,0,0.0
IC00846,208,0,0.0
IC00765,53,0,0.0
IC00766,39,0,0.0
IC00769,54,0,0.0
IC00792,63,0,0.0
IC00818,20,0,0.0
IC00825,24,0,0.0
IC00826,231,0,0.0
IC00837,42,0,0.0
IC00841,37,0,0.0
IC00842,97,0,0.0
IC00845,210,0,0.0
IC00764,121,0,0.0
IC03786,35,0,0.0
IC03793,54,0,0.0
IC03822,55,0,0.0
IC03830,21,0,0.0
IC03831,44,0,0.0
IC03836,28,0,0.0
IC03850,22,0,0.0
IC03855,31,0,0.0
IC03887,33,0,0.0
IC04015,37,0,0.0
IC04105,30,0,0.0
IC01492,63,0,0.0
IC04157,24,0,0.0
IC04245,51,0,0.0
IC04545,21,0,0.0
IC04595,23,0,0.0
IC04620,28,0,0.0
IC04636,24,0,0.0
IC00012,401,0,0.0
IC04855,29,0,0.0
IC04856,33,0,0.0
IC04857,519,0,0.0
IC04860,857,0,0.0
IC04122,25,0,0.0
IC02822,21,0,0.0
IC02825,23,0,0.0
IC02826,23,0,0.0
IC02864,38,0,0.0
IC02913,25,0,0.0
IC02955,23,0,0.0
IC02968,27,0,0.0
IC02985,21,0,0.0
IC02989,152,0,0.0
IC02990,98,0,0.0
IC02991,102,0,0.0
IC03776,35,0,0.0
IC02996,80,0,0.0
IC03014,252,0,0.0
IC03076,51,0,0.0
IC03207,60,0,0.0
IC03295,59,0,0.0
IC03462,51,0,0.0
IC03556,20,0,0.0
IC03562,130,0,0.0
IC03628,20,0,0.0
IC03633,32,0,0.0
IC03644,54,0,0.0
IC03673,547,0,0.0
IC02995,37,0,0.0
IC00015,120,0,0.0
IC06480,66,0,0.0
IC06481,56,0,0.0
IC06585,23,0,0.0
IC06608,47,0,0.0
IC06612,32,0,0.0
IC06634,23,0,0.0
IC06733,77,0,0.0
IC06746,27,0,0.0
IC06883,23,0,0.0
IC06902,25,0,0.0
IC04883,24,0,0.0
IC07218,74,0,0.0
IC07348,22,0,0.0
IC07351,43,0,0.0
IC07464,35,0,0.0
IC07576,82,0,0.0
IC07636,23,0,0.0
IC07755,29,0,0.0
IC07866,20,0,0.0
IC08010,22,0,0.0
IC08046,33,0,0.0
IC08108,22,0,0.0
IC08267,32,0,0.0
IC07197,27,0,0.0
IC04893,46,0,0.0
IC05006,22,0,0.0
IC05007,28,0,0.0
IC05052,29,0,0.0
IC05131,21,0,0.0
IC05152,65,0,0.0
IC05197,33,0,0.0
IC05224,51,0,0.0
IC05225,21,0,0.0
IC05226,58,0,0.0
IC05229,40,0,0.0
IC06465,46,0,0.0
IC05795,21,0,0.0
IC05816,26,0,0.0
IC05890,22,0,0.0
IC05934,23,0,0.0
IC05935,23,0,0.0
IC00016,176,0,0.0
IC05938,24,0,0.0
IC05941,29,0,0.0
IC05989,27,0,0.0
IC05996,27,0,0.0
IC06454,54,0,0.0
IC06458,25,0,0.0
IC05593,30,0,0.0
IC01656,27,0,0.0
IC01660,29,0,0.0
IC01664,29,0,0.0
IC01669,33,0,0.0
IC01698,24,0,0.0
IC01701,28,0,0.0
IC01702,21,0,0.0
IC01704,41,0,0.0
IC01705,35,0,0.0
IC01706,21,0,0.0
IC01711,100,0,0.0
IC02820,80,0,0.0
IC01738,41,0,0.0
IC01740,38,0,0.0
IC01749,30,0,0.0
IC01765,26,0,0.0
IC01767,22,0,0.0
IC01780,29,0,0.0
IC01782,28,0,0.0
IC01787,77,0,0.0
IC01788,24,0,0.0
IC01791,37,0,0.0
IC01793,32,0,0.0
IC01722,25,0,0.0
IC01444,91,0,0.0
IC01446,202,0,0.0
IC01451,22,0,0.0
IC01458,22,0,0.0
IC01468,25,0,0.0
IC01490,30,0,0.0
IC01501,27,0,0.0
IC01506,47,0,0.0
IC01512,21,0,0.0
IC01513,30,0,0.0
IC01516,27,0,0.0
IC01652,41,0,0.0
