Produto,total_chamados,incidentes_p2p3,violacoes_ola
lhco,12835,10144,55
lcem,5878,5533,25
lsin,7342,4810,63
lhvp,4454,3122,14
lrev,3784,2820,9
lcsi,1085,1083,2
lcho,1368,760,3
lrel,905,731,5
lsaa,919,679,8
lemn,639,638,3
lemg,643,633,4
lrdo,573,520,8
lssl,512,486,9
lvps,703,457,10
lgoa,404,404,7
lsmt,335,323,2
lcsp,326,299,2
lclo,272,197,1
lexc,196,193,14
lwpl,204,187,1
lsg2,282,175,0
lsd0,166,132,2
khvp,126,119,0
lsto,125,112,1
lcle,72,71,0
larq,101,51,0
lema,21,21,0
ninf,19,18,0
lmse,29,17,0
lvpk,165,14,0
minf,14,13,0
ets,13,13,0
lvmr,12,11,0
lbho,16,10,0
khga,7,7,0
khkm,6,6,0
khhc,19,6,0
lost,6,6,0
llwm,4,4,0
khst,4,4,0
ljel,2,2,0
khem,2,2,0
khsi,2,2,0
ncpu,2,2,0
khep,1,1,0
lofc,1,1,0
lcos,1,1,0
khhn,1,0,0
khhj,1,0,0
khafl,2,0,0
khch,9,0,0
