dia_semana_nome,faixa_horaria,violacoes_ola
Quinta,Manhã (6-11h),18
Quinta,Tarde (12-17h),18
Sábado,Noite (18-23h),18
Quarta,Tarde (12-17h),16
Sexta,Tarde (12-17h),16
Terça,Tarde (12-17h),14
Sexta,Noite (18-23h),13
Terça,Manhã (6-11h),12
Quarta,Manhã (6-11h),12
Segunda,Manhã (6-11h),11
Segunda,Tarde (12-17h),10
Quinta,Noite (18-23h),8
Terça,Noite (18-23h),8
Sábado,Manhã (6-11h),7
Sexta,Manhã (6-11h),7
Sábado,Tarde (12-17h),7
Domingo,Tarde (12-17h),7
Sexta,Madrugada (0-5h),6
Sábado,Madrugada (0-5h),6
Segunda,Noite (18-23h),6
Domingo,Madrugada (0-5h),5
Domingo,Manhã (6-11h),4
Segunda,Madrugada (0-5h),4
Quinta,Madrugada (0-5h),4
Quarta,Madrugada (0-5h),3
Quarta,Noite (18-23h),3
Domingo,Noite (18-23h),3
Terça,Madrugada (0-5h),2
