data,valor_real,valor_previsto,horizonte,target
2025-12-18,1005.0,896,D+1,volume_total
2025-12-19,839.0,900,D+1,volume_total
2025-12-20,984.0,669,D+1,volume_total
2025-12-21,1104.0,736,D+1,volume_total
2025-12-22,1370.0,888,D+1,volume_total
2025-12-23,1122.0,983,D+1,volume_total
2025-12-24,929.0,920,D+1,volume_total
2025-12-25,704.0,896,D+1,volume_total
2025-12-26,910.0,831,D+1,volume_total
2025-12-27,1027.0,630,D+1,volume_total
2025-12-28,829.0,763,D+1,volume_total
2025-12-29,921.0,863,D+1,volume_total
2025-12-30,866.0,806,D+1,volume_total
2025-12-31,755.0,835,D+1,volume_total
2025-12-11,6152.0,5616,D+7,volume_total
2025-12-12,6264.0,5572,D+7,volume_total
2025-12-13,6487.0,5637,D+7,volume_total
2025-12-14,6896.0,5523,D+7,volume_total
2025-12-15,7403.0,5514,D+7,volume_total
2025-12-16,7449.0,5675,D+7,volume_total
2025-12-17,7353.0,5463,D+7,volume_total
2025-12-18,7052.0,5364,D+7,volume_total
2025-12-19,7123.0,5228,D+7,volume_total
2025-12-20,7166.0,5424,D+7,volume_total
2025-12-21,6891.0,5624,D+7,volume_total
2025-12-22,6442.0,5436,D+7,volume_total
2025-12-23,6186.0,5108,D+7,volume_total
2025-12-24,6012.0,5058,D+7,volume_total
2025-12-18,401.0,249,D+1,volume_p2p3
2025-12-19,392.0,245,D+1,volume_p2p3
2025-12-20,403.0,216,D+1,volume_p2p3
2025-12-21,466.0,194,D+1,volume_p2p3
2025-12-22,805.0,353,D+1,volume_p2p3
2025-12-23,648.0,278,D+1,volume_p2p3
2025-12-24,551.0,268,D+1,volume_p2p3
2025-12-25,399.0,244,D+1,volume_p2p3
2025-12-26,454.0,278,D+1,volume_p2p3
2025-12-27,555.0,251,D+1,volume_p2p3
2025-12-28,437.0,240,D+1,volume_p2p3
2025-12-29,572.0,342,D+1,volume_p2p3
2025-12-30,497.0,314,D+1,volume_p2p3
2025-12-31,387.0,297,D+1,volume_p2p3
2025-12-11,2231.0,2020,D+7,volume_p2p3
2025-12-12,2437.0,2028,D+7,volume_p2p3
2025-12-13,2575.0,1899,D+7,volume_p2p3
2025-12-14,2814.0,1792,D+7,volume_p2p3
2025-12-15,3166.0,1960,D+7,volume_p2p3
2025-12-16,3404.0,1910,D+7,volume_p2p3
2025-12-17,3666.0,1696,D+7,volume_p2p3
2025-12-18,3664.0,1652,D+7,volume_p2p3
2025-12-19,3726.0,1737,D+7,volume_p2p3
2025-12-20,3878.0,1839,D+7,volume_p2p3
2025-12-21,3849.0,1948,D+7,volume_p2p3
2025-12-22,3616.0,1750,D+7,volume_p2p3
2025-12-23,3465.0,1660,D+7,volume_p2p3
2025-12-24,3301.0,1605,D+7,volume_p2p3
